x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,label
144,0,16,1061,2027,70,500,1,1631,1631,0.1221,0,47849,1531,5499,2158,751,34,0
232,6,52,3391,2729,660,1964,115,1075,1075,1.3856,-0.8572,40906,3131,16560,1301,445,247,0
365,474,33,4705,3377,589,5911,4388,1515,1490,28.5844,-18.3602,46213,4735,18805,756,290,146,0
10,0,5,3181,3404,367,741,19,193,193,0,0,17664,3200,8310,30,11,5,0
18,12,34,3255,3466,378,211,146,1049,1049,0.2355,0,40408,3230,7233,103,31,5,0
82,1,14,2660,3618,23,174,2,2997,2997,0,0,60147,3213,16708,0,0,0,0
217,32,81,6313,3849,1320,3537,500,457,457,9.5,-1.5583,26250,3233,8956,280,82,41,0
2178,471,901,4957,4026,2098,5785,1750,3293,3240,24.0651,-15.3453,61345,3629,19294,950,358,160,0
2,0,0,4111,5224,8,29,0,2055,2055,0,0,52456,2803,7738,2385,865,292,0
182,2,61,9877,5256,161,565,6,1744,1744,0,0,49498,3069,3953,0,0,0,0
4,0,21,5437,5697,695,90,0,273,273,0,0,20127,3201,12639,0,0,0,0
71,4,39,6219,5794,236,354,21,1337,1337,0,0,44182,2826,11492,244,79,53,0
101,0,11,5444,6763,77,309,0,1093,1093,0,0,41179,3235,3423,30,1,1,0
15,0,11,5774,7399,112,65,3,1462,1462,0,0,45942,3221,7096,303,75,17,0
5,0,117,7826,9956,464,32,1,1697,1697,0,0,48900,3198,7577,0,0,0,0
12,0,30,7399,10817,712,162,0,710,710,0,0,33555,3200,10104,0,0,0,0
77,8,19,22679,13550,128,596,69,1497,1497,0,0,46336,2770,11650,4820,1364,704,0
46,15,124,30086,30703,4272,904,203,510,510,2.5741,-2.2271,27869,3187,9791,101,41,32,0
111,2,52,69495,32837,325,805,12,1897,1897,0,0,51034,3171,6766,1494,286,128,0
1947,29,1922,62952,44688,12223,11048,172,1197,1195,14.428,0,42670,3203,5799,0,0,0,0
169,1,267,43111,51137,757,401,13,2715,2715,0,0,58095,3197,5646,99,17,10,0
51,16,12,2520,1902,455,1360,208,448,448,0,0,25971,2748,10230,2411,781,43,0
167,31,66,4059,1945,493,1059,300,763,755,12.1447,-1.9832,34612,1280,7325,1053,421,167,0
133,13,63,1479,1907,1448,1803,123,1294,1294,0,0,43795,3814,18393,4086,1299,351,0
0,0,0,1620,2136,0,0,0,215,215,0,0,18321,3232,12598,0,0,0,0
0,0,0,2178,2742,17,6,0,167,167,0,0,16981,3200,8789,0,0,0,0
229,16,139,3775,1961,872,1443,70,1128,1128,1.6408,-0.6549,41696,1856,8958,1527,433,107,0
19,1,2,992,2174,21,74,52,1409,1409,0,0,45217,1199,4672,9,3,3,0
503,286,58,752,2237,274,3375,1959,2131,2133,9.878,-9.2143,52970,4129,19677,917,293,144,0
9,0,2,2931,3564,19,52,0,2054,2054,0,0,52433,3219,4629,4974,874,3,0
57,96,86,4996,2438,578,385,314,1262,1262,6.4129,-4.7748,43401,3230,12872,120,68,27,0
8,0,2,3547,3983,85,95,3,261,261,0,0,19792,3211,10552,33,7,2,0
50,0,20,5166,2272,2361,688,10,367,367,0,0,23220,3225,3730,355,17,14,0
484,23,358,2249,2368,618,799,40,2492,2492,17.8782,-1.5434,56664,3212,4312,1035,2,2,0
3,0,2,4150,4921,134,26,0,909,909,0,0,37935,3026,11214,3,1,1,0
0,1,0,3884,5700,9,5,1,456,456,0.5111,0,26228,3210,12032,0,0,0,0
16,0,2,7529,8051,23,81,2,1330,1330,0,0,44099,3205,1601,430,12,4,0
0,0,1,1753,2432,10,2,0,2094,2094,0,0,52621,3200,1439,0,0,0,0
15,0,12,2644,2527,95,188,2,1340,1340,0,0,44203,3237,17262,4729,1787,11,0
325,18,8,1406,2957,76,1620,153,722,722,0.3023,0,33923,2693,13474,409,127,63,0
283,28,67,2499,3184,230,945,136,3538,3538,2.226,-0.9259,63072,2988,14587,4646,1774,299,0
1,0,2,3074,4411,123,92,0,303,303,0,0,20894,3200,5290,0,0,0,0
2,0,64,3532,4754,234,13,1,1391,1391,0,0,45055,3200,10901,0,0,0,0
166,5,90,5890,5003,429,919,26,2030,2030,1.7806,-0.9047,52250,3222,5884,2047,41,20,0
1826,227,329,4867,5069,1881,10781,1955,1470,1436,16.9265,-1.6852,45578,5052,15583,392,135,35,0
45,3,40,5041,5578,99,152,6,3069,3069,0.9853,-0.4272,60596,3158,10068,2289,328,109,0
4,0,20,5351,5843,123,72,1,892,892,0,0,37543,3201,10221,0,0,0,0
12,0,28,6830,5889,418,138,5,595,595,0,0,30500,2876,12135,99,22,8,0
5,0,2,11761,6757,11,29,0,2887,2887,0,0,59609,3082,11302,1309,303,108,0
0,0,2,8065,6817,75,64,0,925,925,0,0,38191,3212,9703,3,1,1,0
1,0,2,6638,6875,349,112,5,123,123,0,0,16019,3201,10636,0,0,0,0
53,11,27,48212,7880,671,919,168,502,502,5.8033,0,27659,3216,11889,122,33,21,0
704,13,352,29122,8821,1743,2347,55,2383,2383,0.8638,-0.8893,55895,3204,13601,2068,770,3,0
5,0,6,9240,12302,81,67,1,947,947,0,0,38537,3200,12380,0,0,0,0
158,2,143,12117,13523,2094,2585,73,735,735,0,0,34168,3132,10899,663,106,66,0
7,0,4,12881,15151,105,75,0,352,352,0,0,22731,2992,3177,525,140,2,0
